名称,手环,采集时间,开始时间,结束时间,入库时间,num-1,num-2,num-3
null,0v4x1y2orxtw,null,null,null,null,216,130,0
null,0v4x1y2orxtw,null,null,null,null,216,130,0
null,0v4x1y2orxtw,null,null,null,null,229,131,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,213,130,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,214,130,0
null,0v4x1y2orxtw,null,null,null,null,216,132,0
null,0v4x1y2orxtw,null,null,null,null,226,130,0
null,0v4x1y2orxtw,null,null,null,null,219,133,0
null,0v4x1y2orxtw,null,null,null,null,224,132,0
null,0v4x1y2orxtw,null,null,null,null,214,131,0
null,0v4x1y2orxtw,null,null,null,null,224,129,0
null,0v4x1y2orxtw,null,null,null,null,223,132,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,223,131,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,227,132,0
null,0v4x1y2orxtw,null,null,null,null,224,131,0
null,0v4x1y2orxtw,null,null,null,null,222,132,0
null,0v4x1y2orxtw,null,null,null,null,220,131,0
null,0v4x1y2orxtw,null,null,null,null,215,132,0
null,0v4x1y2orxtw,null,null,null,null,222,131,0
null,0v4x1y2orxtw,null,null,null,null,208,131,0
null,0v4x1y2orxtw,null,null,null,null,213,131,0
null,0v4x1y2orxtw,null,null,null,null,223,130,0
null,0v4x1y2orxtw,null,null,null,null,227,130,0
null,0v4x1y2orxtw,null,null,null,null,220,132,0
null,0v4x1y2orxtw,null,null,null,null,220,132,0
null,0v4x1y2orxtw,null,null,null,null,215,132,0
null,0v4x1y2orxtw,null,null,null,null,216,131,0
null,0v4x1y2orxtw,null,null,null,null,218,133,0
null,0v4x1y2orxtw,null,null,null,null,223,131,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,219,129,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,223,131,0
null,0v4x1y2orxtw,null,null,null,null,217,132,0
null,0v4x1y2orxtw,null,null,null,null,216,132,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,224,131,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,213,131,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,223,134,0
null,0v4x1y2orxtw,null,null,null,null,222,129,0
null,0v4x1y2orxtw,null,null,null,null,222,130,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,217,130,0
null,0v4x1y2orxtw,null,null,null,null,217,133,0
null,0v4x1y2orxtw,null,null,null,null,214,130,0
null,0v4x1y2orxtw,null,null,null,null,223,131,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,219,132,0
null,0v4x1y2orxtw,null,null,null,null,211,131,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,214,130,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,219,129,0
null,0v4x1y2orxtw,null,null,null,null,216,132,0
null,0v4x1y2orxtw,null,null,null,null,213,132,0
null,0v4x1y2orxtw,null,null,null,null,215,130,0
null,0v4x1y2orxtw,null,null,null,null,221,129,0
null,0v4x1y2orxtw,null,null,null,null,216,131,0
null,0v4x1y2orxtw,null,null,null,null,221,129,0
null,0v4x1y2orxtw,null,null,null,null,212,130,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,216,130,0
null,0v4x1y2orxtw,null,null,null,null,220,132,0
null,0v4x1y2orxtw,null,null,null,null,216,129,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,207,131,0
null,0v4x1y2orxtw,null,null,null,null,228,130,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,220,133,0
null,0v4x1y2orxtw,null,null,null,null,227,129,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,218,133,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,216,130,0
null,0v4x1y2orxtw,null,null,null,null,224,130,0
null,0v4x1y2orxtw,null,null,null,null,217,129,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,215,133,0
null,0v4x1y2orxtw,null,null,null,null,221,129,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,225,128,0
null,0v4x1y2orxtw,null,null,null,null,224,131,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,214,131,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,228,133,0
null,0v4x1y2orxtw,null,null,null,null,216,132,0
null,0v4x1y2orxtw,null,null,null,null,220,131,0
null,0v4x1y2orxtw,null,null,null,null,213,131,0
null,0v4x1y2orxtw,null,null,null,null,222,132,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,216,131,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,214,130,0
null,0v4x1y2orxtw,null,null,null,null,223,131,0
null,0v4x1y2orxtw,null,null,null,null,217,129,0
null,0v4x1y2orxtw,null,null,null,null,224,131,0
null,0v4x1y2orxtw,null,null,null,null,219,132,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,221,132,0
null,0v4x1y2orxtw,null,null,null,null,214,130,0
null,0v4x1y2orxtw,null,null,null,null,223,130,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,223,132,0
null,0v4x1y2orxtw,null,null,null,null,217,130,0
null,0v4x1y2orxtw,null,null,null,null,220,131,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,217,130,0
null,0v4x1y2orxtw,null,null,null,null,226,130,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,214,132,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,222,130,0
null,0v4x1y2orxtw,null,null,null,null,221,132,0
null,0v4x1y2orxtw,null,null,null,null,217,133,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,222,132,0
null,0v4x1y2orxtw,null,null,null,null,219,130,0
null,0v4x1y2orxtw,null,null,null,null,210,131,0
null,0v4x1y2orxtw,null,null,null,null,220,133,0
null,0v4x1y2orxtw,null,null,null,null,216,130,0
null,0v4x1y2orxtw,null,null,null,null,216,131,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,215,132,0
null,0v4x1y2orxtw,null,null,null,null,216,131,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,213,131,0
null,0v4x1y2orxtw,null,null,null,null,213,131,0
null,0v4x1y2orxtw,null,null,null,null,220,132,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,211,131,0
null,0v4x1y2orxtw,null,null,null,null,212,132,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,214,131,0
null,0v4x1y2orxtw,null,null,null,null,224,131,0
null,0v4x1y2orxtw,null,null,null,null,211,131,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,224,132,0
null,0v4x1y2orxtw,null,null,null,null,225,130,0
null,0v4x1y2orxtw,null,null,null,null,221,132,0
null,0v4x1y2orxtw,null,null,null,null,227,131,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,221,132,0
null,0v4x1y2orxtw,null,null,null,null,216,131,0
null,0v4x1y2orxtw,null,null,null,null,220,131,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,223,131,0
null,0v4x1y2orxtw,null,null,null,null,223,130,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,221,129,0
null,0v4x1y2orxtw,null,null,null,null,215,134,0
null,0v4x1y2orxtw,null,null,null,null,215,133,0
null,0v4x1y2orxtw,null,null,null,null,222,130,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,217,129,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,213,131,0
null,0v4x1y2orxtw,null,null,null,null,213,131,0
null,0v4x1y2orxtw,null,null,null,null,219,130,0
null,0v4x1y2orxtw,null,null,null,null,221,132,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,221,133,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,214,129,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,216,130,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,221,129,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,212,131,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,220,132,0
null,0v4x1y2orxtw,null,null,null,null,224,130,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,211,131,0
null,0v4x1y2orxtw,null,null,null,null,213,132,0
null,0v4x1y2orxtw,null,null,null,null,219,129,0
null,0v4x1y2orxtw,null,null,null,null,224,132,0
null,0v4x1y2orxtw,null,null,null,null,222,132,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,217,133,0
null,0v4x1y2orxtw,null,null,null,null,214,132,0
null,0v4x1y2orxtw,null,null,null,null,220,130,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,215,133,0
null,0v4x1y2orxtw,null,null,null,null,222,131,0
null,0v4x1y2orxtw,null,null,null,null,209,130,0
null,0v4x1y2orxtw,null,null,null,null,225,131,0
null,0v4x1y2orxtw,null,null,null,null,222,132,0
null,0v4x1y2orxtw,null,null,null,null,220,131,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,214,131,0
null,0v4x1y2orxtw,null,null,null,null,217,128,0
null,0v4x1y2orxtw,null,null,null,null,221,134,0
null,0v4x1y2orxtw,null,null,null,null,222,131,0
null,0v4x1y2orxtw,null,null,null,null,215,133,0
null,0v4x1y2orxtw,null,null,null,null,223,130,0
null,0v4x1y2orxtw,null,null,null,null,222,133,0
null,0v4x1y2orxtw,null,null,null,null,217,132,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,212,131,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,222,132,0
null,0v4x1y2orxtw,null,null,null,null,228,133,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,216,130,0
null,0v4x1y2orxtw,null,null,null,null,222,129,0
null,0v4x1y2orxtw,null,null,null,null,224,130,0
null,0v4x1y2orxtw,null,null,null,null,220,132,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,225,131,0
null,0v4x1y2orxtw,null,null,null,null,213,132,0
null,0v4x1y2orxtw,null,null,null,null,211,133,0
null,0v4x1y2orxtw,null,null,null,null,222,132,0
null,0v4x1y2orxtw,null,null,null,null,213,130,0
null,0v4x1y2orxtw,null,null,null,null,220,132,0
null,0v4x1y2orxtw,null,null,null,null,210,133,0
null,0v4x1y2orxtw,null,null,null,null,221,132,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,224,130,0
null,0v4x1y2orxtw,null,null,null,null,216,132,0
null,0v4x1y2orxtw,null,null,null,null,220,131,0
null,0v4x1y2orxtw,null,null,null,null,223,131,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,213,132,0
null,0v4x1y2orxtw,null,null,null,null,213,131,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,217,132,0
null,0v4x1y2orxtw,null,null,null,null,217,132,0
null,0v4x1y2orxtw,null,null,null,null,215,129,0
null,0v4x1y2orxtw,null,null,null,null,220,132,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,219,130,0
null,0v4x1y2orxtw,null,null,null,null,227,130,0
null,0v4x1y2orxtw,null,null,null,null,213,130,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,219,132,0
null,0v4x1y2orxtw,null,null,null,null,225,132,0
null,0v4x1y2orxtw,null,null,null,null,216,130,0
null,0v4x1y2orxtw,null,null,null,null,228,133,0
null,0v4x1y2orxtw,null,null,null,null,219,132,0
null,0v4x1y2orxtw,null,null,null,null,216,132,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,216,130,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,217,130,0
null,0v4x1y2orxtw,null,null,null,null,212,130,0
null,0v4x1y2orxtw,null,null,null,null,217,133,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,211,131,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,220,132,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,215,132,0
null,0v4x1y2orxtw,null,null,null,null,227,132,0
null,0v4x1y2orxtw,null,null,null,null,221,132,0
null,0v4x1y2orxtw,null,null,null,null,217,132,0
null,0v4x1y2orxtw,null,null,null,null,215,132,0
null,0v4x1y2orxtw,null,null,null,null,221,133,0
null,0v4x1y2orxtw,null,null,null,null,223,131,0
null,0v4x1y2orxtw,null,null,null,null,216,132,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,224,129,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,225,131,0
null,0v4x1y2orxtw,null,null,null,null,223,132,0
null,0v4x1y2orxtw,null,null,null,null,216,132,0
null,0v4x1y2orxtw,null,null,null,null,214,130,0
null,0v4x1y2orxtw,null,null,null,null,219,130,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,219,132,0
null,0v4x1y2orxtw,null,null,null,null,222,131,0
null,0v4x1y2orxtw,null,null,null,null,220,130,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,213,131,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,225,132,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,223,131,0
null,0v4x1y2orxtw,null,null,null,null,216,131,0
null,0v4x1y2orxtw,null,null,null,null,224,131,0
null,0v4x1y2orxtw,null,null,null,null,216,131,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,216,131,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,223,132,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,230,131,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,223,131,0
null,0v4x1y2orxtw,null,null,null,null,209,130,0
null,0v4x1y2orxtw,null,null,null,null,213,132,0
null,0v4x1y2orxtw,null,null,null,null,221,132,0
null,0v4x1y2orxtw,null,null,null,null,216,130,0
null,0v4x1y2orxtw,null,null,null,null,215,130,0
null,0v4x1y2orxtw,null,null,null,null,215,132,0
null,0v4x1y2orxtw,null,null,null,null,216,131,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,214,132,0
null,0v4x1y2orxtw,null,null,null,null,213,131,0
null,0v4x1y2orxtw,null,null,null,null,221,130,0
null,0v4x1y2orxtw,null,null,null,null,220,132,0
null,0v4x1y2orxtw,null,null,null,null,216,130,0
null,0v4x1y2orxtw,null,null,null,null,216,131,0
null,0v4x1y2orxtw,null,null,null,null,218,134,0
null,0v4x1y2orxtw,null,null,null,null,223,132,0
null,0v4x1y2orxtw,null,null,null,null,215,130,0
null,0v4x1y2orxtw,null,null,null,null,213,131,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,215,131,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,222,129,0
null,0v4x1y2orxtw,null,null,null,null,219,130,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,220,131,0
null,0v4x1y2orxtw,null,null,null,null,214,129,0
null,0v4x1y2orxtw,null,null,null,null,220,131,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,209,131,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,220,132,0
null,0v4x1y2orxtw,null,null,null,null,213,132,0
null,0v4x1y2orxtw,null,null,null,null,209,132,0
null,0v4x1y2orxtw,null,null,null,null,219,132,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,216,129,0
null,0v4x1y2orxtw,null,null,null,null,216,130,0
null,0v4x1y2orxtw,null,null,null,null,215,133,0
null,0v4x1y2orxtw,null,null,null,null,212,131,0
null,0v4x1y2orxtw,null,null,null,null,213,130,0
null,0v4x1y2orxtw,null,null,null,null,215,130,0
null,0v4x1y2orxtw,null,null,null,null,222,130,0
null,0v4x1y2orxtw,null,null,null,null,217,132,0
null,0v4x1y2orxtw,null,null,null,null,214,131,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,216,129,0
null,0v4x1y2orxtw,null,null,null,null,210,131,0
null,0v4x1y2orxtw,null,null,null,null,218,131,0
null,0v4x1y2orxtw,null,null,null,null,214,130,0
null,0v4x1y2orxtw,null,null,null,null,211,131,0
null,0v4x1y2orxtw,null,null,null,null,217,130,0
null,0v4x1y2orxtw,null,null,null,null,224,132,0
null,0v4x1y2orxtw,null,null,null,null,222,131,0
null,0v4x1y2orxtw,null,null,null,null,214,132,0
null,0v4x1y2orxtw,null,null,null,null,216,131,0
null,0v4x1y2orxtw,null,null,null,null,218,132,0
null,0v4x1y2orxtw,null,null,null,null,219,131,0
null,0v4x1y2orxtw,null,null,null,null,224,133,0
null,0v4x1y2orxtw,null,null,null,null,213,130,0
null,0v4x1y2orxtw,null,null,null,null,217,130,0
null,0v4x1y2orxtw,null,null,null,null,211,132,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,211,131,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,215,130,0
null,0v4x1y2orxtw,null,null,null,null,223,133,0
null,0v4x1y2orxtw,null,null,null,null,222,130,0
null,0v4x1y2orxtw,null,null,null,null,214,129,0
null,0v4x1y2orxtw,null,null,null,null,220,132,0
null,0v4x1y2orxtw,null,null,null,null,214,130,0
null,0v4x1y2orxtw,null,null,null,null,217,131,0
null,0v4x1y2orxtw,null,null,null,null,221,132,0
null,0v4x1y2orxtw,null,null,null,null,212,131,0
null,0v4x1y2orxtw,null,null,null,null,219,130,0
null,0v4x1y2orxtw,null,null,null,null,218,130,0
null,0v4x1y2orxtw,null,null,null,null,224,131,0
null,0v4x1y2orxtw,null,null,null,null,220,131,0
null,0v4x1y2orxtw,null,null,null,null,217,130,0
null,0v4x1y2orxtw,null,null,null,null,221,131,0
null,0v4x1y2orxtw,null,null,null,null,214,131,0
